,Unnamed: 0,X,x,y,Labels,Energy,Magnetization,Temp,Min_distance
1875,1199476,1199475,10.9554364833924,-0.22665266703200698,1,228,0.515,2.46,1.3295808168144612
1876,1199477,1199476,-1.35564333988999,-5.98097309086314,2,208,0.1,2.47166666666667,3.3412287457643113
1877,1199478,1199477,7.048241328089429,-1.7801624768654098,2,230,0.32,2.47166666666667,0.9070017835204912
1878,1199479,1199478,3.55098108161183,2.01389992610249,2,182,0.145,2.47166666666667,2.614131294357007
1879,1199480,1199479,-9.45734314731289,0.725477005875971,0,232,0.505,2.47166666666667,1.2535971655365765
1880,1199481,1199480,12.9548544243613,-4.763224395863269,1,260,0.615,2.4833333333333303,2.4348903802989943
1881,1199482,1199481,11.955098999387,1.75335990037397,1,268,0.565,2.4833333333333303,1.7660151446106593
1882,1199483,1199482,-3.05179940161079,-1.34765121216757,2,212,0.185,2.4833333333333303,2.190121699602858
1883,1199484,1199483,-10.0569894675003,-3.9851033051145,0,240,0.535,2.4833333333333303,1.5269943721545272
1884,1199485,1199484,9.35618223384681,0.28055481846145397,1,228,0.435,2.495,0.6502295570786834
1885,1199486,1199485,15.2553617277668,-2.00797108592347,1,274,0.73,2.495,3.4081405821261246
1886,1199487,1199486,13.4588428620503,1.36273690321837,1,274,0.64,2.495,2.504301004592949
1887,1199488,1199487,5.85564596587683,5.61633447304615,2,224,0.26,2.495,1.4693898984722509
1888,1199489,1199488,-0.352367071274807,2.82833916822429,2,174,0.05,2.50666666666667,3.5636556182557433
1889,1199490,1199489,11.455553994356402,-2.0448285258255803,1,244,0.54,2.50666666666667,1.5215090921295027
1890,1199491,1199490,8.05593788862697,4.0316918832090005,2,204,0.37,2.50666666666667,0.3584063402477897
1891,1199492,1199491,7.25122949684857,-1.2903630790555,2,212,0.33,2.50666666666667,0.8034854396897125
1892,1199493,1199492,2.5494182130790497,1.40287345883308,2,178,0.095,2.51833333333333,3.063891249295126
1893,1199494,1199493,5.3504100836444195,0.517982556730555,2,208,0.235,2.51833333333333,1.6106172763947857
1894,1199495,1199494,1.75473721490589,0.9223334160375859,2,214,0.055,2.51833333333333,3.419767114973671
1895,1199496,1199495,3.75278117417813,3.0464226636457203,2,222,0.155,2.51833333333333,2.4524028350239377
1896,1199497,1199496,4.8470950542068705,-3.99584172189587,2,182,0.21,2.53,1.8743415851173657
1897,1199498,1199497,-11.1586542735497,3.21826828115276,0,240,0.59,2.53,2.1086736808261106
1898,1199499,1199498,-8.45539987637977,0.189583785183619,0,206,0.455,2.53,0.75262035463485
1899,1199500,1199499,5.3512783514936295,-3.13315705021345,2,200,0.235,2.53,1.6047585253797751
1900,1199501,1199500,-11.259600712804199,-2.8136233793014105,0,220,0.595,2.5416666666666696,2.0027116551563138
1901,1199502,1199501,-1.6517259203274,1.30710238597301,2,228,0.115,2.5416666666666696,2.9737710485708435
1902,1199503,1199502,7.65744779154999,0.16519322946838097,2,242,0.35,2.5416666666666696,0.4482217233134635
1903,1199504,1199503,0.7552587103238009,-2.24841728412677,2,204,0.005,2.5416666666666696,3.9397189538424486
1904,1199505,1199504,-10.057779677241198,-3.57711093810218,0,250,0.535,2.55333333333333,1.4583916900868807
1905,1199506,1199505,3.84991899341636,-2.56042519609925,2,220,0.16,2.55333333333333,2.3873817627700213
1906,1199507,1199506,12.056416214460599,-2.7448006170732597,1,226,0.57,2.55333333333333,1.8056722546325175
1907,1199508,1199507,-6.450498339855191,4.882001770847981,2,236,0.355,2.55333333333333,0.5886141532330019
1908,1199509,1199508,12.5571943903962,2.4273531844279996,1,230,0.595,2.565,2.0633394256363298
1909,1199510,1199509,11.654077750335802,-1.79414004649126,1,230,0.55,2.565,1.6045219628333303
1910,1199511,1199510,-10.0550445028634,0.936964993186803,0,208,0.535,2.565,1.548382753457546
1911,1199512,1199511,3.4542879975302703,5.94295548840534,2,218,0.14,2.565,2.6188386213272294
1912,1199513,1199512,-9.35684086566312,-0.49863867864172295,0,196,0.5,2.5766666666666698,1.2054803246633863
1913,1199514,1199513,-0.15075446864087197,1.32286995504346,2,194,0.04,2.5766666666666698,3.711101312339802
1914,1199515,1199514,6.148214973408741,0.6159986530955279,2,210,0.275,2.5766666666666698,1.222449411208477
1915,1199516,1199515,11.3533890933445,-2.31850325061633,1,212,0.535,2.5766666666666698,1.4825224238762291
1916,1199517,1199516,5.95359198958611,3.6076021565677596,2,232,0.265,2.5883333333333303,1.37170145187528
1917,1199518,1199517,-5.25039078713729,-0.0527672054314793,2,228,0.295,2.5883333333333303,1.0839170540737302
1918,1199519,1199518,-5.7476066602943305,3.7218398409824998,2,222,0.32,2.5883333333333303,0.8649948324127424
1919,1199520,1199519,-1.5497616519751498,5.0361138092606605,2,176,0.11,2.5883333333333303,3.0138064814984142
1920,1199521,1199520,-18.7608363445374,0.17013612960496302,0,378,0.97,1.9,5.903108084974532
1921,1199522,1199521,19.759698361523302,-0.0487058876806075,1,366,0.955,1.9,5.695525486394586
1922,1199523,1199522,19.4598749250543,-0.49640519970226704,1,362,0.94,1.9,5.5266652971776935
1923,1199524,1199523,18.7599011964849,-0.0592404993466788,1,338,0.905,1.9,5.200254949426938
1924,1199525,1199524,-18.3606385359016,-0.250509903102748,0,366,0.95,1.91166666666667,5.694406523980565
1925,1199526,1199525,20.2600290597715,0.0810733129107457,1,384,0.98,1.91166666666667,5.936879705058848
1926,1199527,1199526,20.260236624577104,-0.135987389201815,1,384,0.98,1.91166666666667,5.9437050193695855
1927,1199528,1199527,20.3602475456752,0.115054439724911,1,388,0.985,1.91166666666667,5.984994267241663
1928,1199529,1199528,-17.9601849989527,1.13345833082077,0,364,0.93,1.9233333333333302,5.501910315294186
1929,1199530,1199529,19.758834794547997,-0.258631986217848,1,368,0.955,1.9233333333333302,5.687614966057838
1930,1199531,1199530,-18.6605020712522,-0.175071003718115,0,372,0.965,1.9233333333333302,5.848969545171815
1931,1199532,1199531,-18.3600164550312,0.300958102426503,0,366,0.95,1.9233333333333302,5.703665448594244
1932,1199533,1199532,-19.0609561923457,-0.0677102633471753,0,388,0.985,1.935,6.053329576973824
1933,1199534,1199533,19.959836580597802,-0.017980028287804,1,374,0.965,1.935,5.7931015780755795
1934,1199535,1199534,18.3595416362257,-0.307546441072818,1,326,0.885,1.935,4.989938907194695
1935,1199536,1199535,-18.8601193316268,0.23519851740784303,0,380,0.975,1.935,5.953115115022436
1936,1199537,1199536,-15.757979909354999,2.3897607607226803,0,316,0.82,1.9466666666666699,4.4391702101894115
1937,1199538,1199537,19.959605687580897,-0.13996182864269802,1,374,0.965,1.9466666666666699,5.794222128370766
1938,1199539,1199538,18.859117105758603,-0.278491584946732,1,342,0.91,1.9466666666666699,5.239641680136647
1939,1199540,1199539,-18.6598630949219,0.10593972890863801,0,374,0.965,1.9466666666666699,5.8524318879871915
1940,1199541,1199540,-18.4602806368318,-0.22235740106474103,0,368,0.955,1.9583333333333302,5.746108216222164
1941,1199542,1199541,19.6601058500619,0.640890960143282,1,372,0.95,1.9583333333333302,5.614916658952355
1942,1199543,1199542,19.3591037517412,-0.47125158368113707,1,356,0.935,1.9583333333333302,5.477712157805899
1943,1199544,1199543,-18.360390339842,0.267812549337545,0,362,0.95,1.9583333333333302,5.703538298799397
1944,1199545,1199544,-17.7593613208165,0.536765470761208,0,342,0.92,1.97,5.404064699748485
1945,1199546,1199545,18.4598509372695,1.40857985629758,1,340,0.89,1.97,5.004909926505811
1946,1199547,1199546,-17.559839484422,-0.568983098122984,0,344,0.91,1.97,5.269111907154975
1947,1199548,1199547,-18.1600042545145,0.0634408850121173,0,358,0.94,1.97,5.602472581109509
1948,1199549,1199548,-18.3602453917362,0.7183032358124181,0,370,0.95,1.9816666666666698,5.701934440592114
1949,1199550,1199549,20.1605769564063,0.148619708284315,1,382,0.975,1.9816666666666698,5.883983738160001
1950,1199551,1199550,20.1599257279776,0.0407561810217311,1,380,0.975,1.9816666666666698,5.8892463497281895
1951,1199552,1199551,18.4585204829513,-0.549550719453185,1,332,0.89,1.9816666666666698,5.025749319468188
1952,1199553,1199552,-18.7605732862038,0.257428984070059,0,378,0.97,1.99333333333333,5.903514694083961
1953,1199554,1199553,17.959008651307897,1.3575219123972901,1,328,0.865,1.99333333333333,4.754315669422341
1954,1199555,1199554,-18.260395236367103,-0.559520451872948,0,366,0.945,1.99333333333333,5.613060457120129
1955,1199556,1199555,-17.9596203239792,0.194529230676301,0,352,0.93,1.99333333333333,5.50264256020052
1956,1199557,1199556,-17.7587474925527,0.354508497701511,0,348,0.92,2.005,5.40374001387664
1957,1199558,1199557,18.7600090264032,0.156283610893306,1,348,0.905,2.005,5.187177895938602
1958,1199559,1199558,-17.4578524677344,1.63781800644353,0,350,0.905,2.005,5.261782441675078
1959,1199560,1199559,18.660462580738802,0.934093557226924,1,338,0.9,2.005,5.108529942925263
1960,1199561,1199560,-17.460109139878,0.247760223064884,0,346,0.905,2.0166666666666697,5.2532916183711205
1961,1199562,1199561,19.5598319218214,0.5612044923395451,1,362,0.945,2.0166666666666697,5.5674231523616
1962,1199563,1199562,-18.0609222767658,-0.051046750853376,0,358,0.935,2.0166666666666697,5.553251255792544
1963,1199564,1199563,19.6595907791596,-0.840925825723303,1,368,0.95,2.0166666666666697,5.612804603236407
1964,1199565,1199564,-17.5592182147556,-0.394102397378646,0,342,0.91,2.02833333333333,5.287777630330265
1965,1199566,1199565,17.8561879434027,-1.73753493034575,1,328,0.86,2.02833333333333,4.701439081373086
1966,1199567,1199566,18.5584689431593,0.586987209071888,1,356,0.895,2.02833333333333,5.0670595606924
1967,1199568,1199567,19.4600211525468,-0.740242230126047,1,362,0.94,2.02833333333333,5.516613751464736
1968,1199569,1199568,-16.6593202142049,-0.7019261251128641,0,342,0.865,2.04,4.814992100251702
1969,1199570,1199569,17.6575660024206,-0.864445529825296,1,318,0.85,2.04,4.613255059154525
1970,1199571,1199570,-17.0600989569507,-1.1306565796274,0,360,0.885,2.04,4.971037526770217
1971,1199572,1199571,-16.259508150391,-1.27431215966904,0,328,0.845,2.04,4.564379353450383
1972,1199573,1199572,-16.1563748333514,0.415985791955522,0,328,0.84,2.05166666666667,4.603942239561364
1973,1199574,1199573,19.3596156282273,0.47537066589414,1,358,0.935,2.05166666666667,5.470671216681499
1974,1199575,1199574,-16.8581311586106,1.17011255932569,0,334,0.875,2.05166666666667,4.95140603778441
1975,1199576,1199575,-17.558885772854303,0.404009390178996,0,346,0.91,2.05166666666667,5.304570576414425
1976,1199577,1199576,-18.0594931156105,0.0144360926642887,0,360,0.935,2.0633333333333304,5.55228161758743
1977,1199578,1199577,18.357383786201,-1.6250181726586101,1,354,0.885,2.0633333333333304,4.951153216330776
1978,1199579,1199578,-16.060065290733398,0.0826091972932115,0,306,0.835,2.0633333333333304,4.552508278824157
1979,1199580,1199579,-15.4560593071103,1.76538725560096,0,302,0.805,2.0633333333333304,4.269491517879831
1980,1199581,1199580,-17.3599994324618,-0.0964177430389693,0,338,0.9,2.075,5.203120855018428
1981,1199582,1199581,17.7584272203513,0.6292647984487839,1,324,0.855,2.075,4.66655928139288
1982,1199583,1199582,-17.0607806522266,-0.721374755138617,0,332,0.885,2.075,5.009217626253497
1983,1199584,1199583,17.459741354128802,-1.8594423338046202,1,324,0.84,2.075,4.505043887388112
1984,1199585,1199584,-18.1604570409149,-0.28060754255151,0,354,0.94,2.08666666666667,5.593472726040347
1985,1199586,1199585,15.357761526073197,1.52724897411962,1,294,0.735,2.08666666666667,3.4552851072099213
1986,1199587,1199586,19.058696989633,0.00159430822708505,1,350,0.92,2.08666666666667,5.344560433711918
1987,1199588,1199587,-17.4582359852012,0.0743026001546372,0,348,0.905,2.08666666666667,5.251588819586931
1988,1199589,1199588,-17.360487021360303,-0.652213332145397,0,342,0.9,2.09833333333333,5.162977143067805
1989,1199590,1199589,19.4591885616254,-0.0794639946227858,1,360,0.94,2.09833333333333,5.548289632457129
1990,1199591,1199590,-12.7571555918403,-0.579674246997381,0,282,0.67,2.09833333333333,2.9026177771061206
1991,1199592,1199591,15.6567367642975,-4.083751028790379,1,332,0.75,2.09833333333333,3.6508196410394365
1992,1199593,1199592,-15.8582327897296,0.234987518879897,0,302,0.825,2.11,4.452367251307987
1993,1199594,1199593,18.8586787022333,-0.917176400309626,1,352,0.91,2.11,5.210773942710138
1994,1199595,1199594,18.6592330168086,-0.7241002922535279,1,340,0.9,2.11,5.117975538858189
1995,1199596,1199595,-15.759492900534699,-0.674079815627317,0,330,0.82,2.11,4.379974826293809
1996,1199597,1199596,11.255038818816098,1.95180321097952,1,280,0.53,2.1216666666666697,1.4380630959035372
1997,1199598,1199597,17.558686084605903,-2.53265813341424,1,324,0.845,2.1216666666666697,4.558808820005414
1998,1199599,1199598,-17.960116274610897,-0.7040111506256349,0,354,0.93,2.1216666666666697,5.451784438658909
1999,1199600,1199599,-17.0606973592933,-1.31117628686252,0,338,0.885,2.1216666666666697,4.957234468218631
