,x,y,Labels,Energy,Magnetization,Temp
1302,3.0838036221131016,0.08641479707435679,1,228.0,0.14,1.925
1303,-4.835137455193908,-9.22500368055624,1,280.0,0.24,1.925
1304,-19.199638198514776,3.3216223845162944,2,372.0,0.965,1.9380000000000002
1305,19.696423681230115,1.9528423375703783,0,374.0,0.965,1.9380000000000002
1306,-4.74706587217131,4.583681805479472,1,242.0,0.25,1.9380000000000002
1307,1.2401931752578446,-11.670761484399385,1,290.0,0.065,1.9380000000000002
1308,-18.8786706835828,4.1804730709094695,2,372.0,0.95,1.951
1309,19.384720087430605,1.7628761699433615,0,366.0,0.95,1.951
1310,6.00397818980175,6.539524851342186,0,276.0,0.28,1.951
1311,1.5804143916083606,-10.748099330313265,1,250.0,0.08,1.951
1312,-18.094064771365353,3.5996165988304987,2,346.0,0.91,1.964
1313,18.22340673448909,3.70892444540786,0,340.0,0.89,1.964
1314,-8.232282329797943,-2.569137782096399,1,274.0,0.415,1.964
1315,-0.7538215393067605,-7.226429668893405,1,278.0,0.04,1.964
1316,-18.801496264718345,2.786775973637387,2,364.0,0.945,1.977
1317,19.506612160287816,2.4622245296631506,0,368.0,0.955,1.977
1318,1.1110236138183984,4.768467590540081,1,250.0,0.045,1.977
1319,-1.1299865957186364,-10.999461711890726,1,268.0,0.055,1.977
1320,-17.907532360422294,2.3344202643132776,2,356.0,0.9,1.99
1321,18.699660036752782,2.7689679477199562,0,344.0,0.915,1.99
1322,-8.590952094643463,4.2722770378616834,2,300.0,0.435,1.99
1323,2.355438102139497,-11.527517303718415,1,286.0,0.12,1.99
1324,-18.627014179183295,2.259660631176075,2,360.0,0.935,2.003
1325,19.29677868917576,2.203496312764183,0,364.0,0.945,2.003
1326,7.622389984613636,-0.5941102568373098,1,244.0,0.37,2.003
1327,-0.3257683454407912,-10.785396703987692,1,298.0,0.015,2.003
1328,-18.993092321396013,3.1919712065577106,2,372.0,0.955,2.016
1329,17.38632784527047,2.290831802132905,0,314.0,0.85,2.016
1330,6.21149907574842,4.007810264799405,0,278.0,0.295,2.016
1331,-0.40015835956017426,-8.826011034747202,1,256.0,0.02,2.016
1332,-17.88223875848123,3.4938759079728996,2,336.0,0.9,2.029
1333,18.896348738915233,2.120269580476314,0,350.0,0.925,2.029
1334,3.5695279753299296,5.757256885528522,1,238.0,0.16,2.029
1335,0.4055053132103122,-9.54886545169353,1,278.0,0.02,2.029
1336,-18.603093581865796,3.1139363843669536,2,356.0,0.935,2.042
1337,18.685580931397777,2.2748563226888603,0,346.0,0.915,2.042
1338,-9.76544081275003,3.177966591706713,2,266.0,0.495,2.042
1339,-4.462237477674622,-10.367451717147613,1,278.0,0.22,2.042
1340,-18.178355741674707,3.564607115504236,2,344.0,0.915,2.055
1341,19.591686046438138,1.9098673460815487,0,370.0,0.96,2.055
1342,-6.759195139798578,1.9026040427614144,1,248.0,0.35,2.055
1343,-1.7264131623892733,-9.872815875125326,1,276.0,0.085,2.055
1344,-16.05881335519599,3.2711825657203235,2,304.0,0.81,2.068
1345,18.58976662187117,2.3576417404441035,0,348.0,0.91,2.068
1346,-4.650474166999978,-3.3044916354030827,1,216.0,0.235,2.068
1347,-1.2855093159786797,-10.926115896245477,1,276.0,0.06,2.068
1348,-17.012503166578615,3.521338758861959,2,322.0,0.855,2.081
1349,19.292669610225204,1.9011866812286387,0,362.0,0.945,2.081
1350,6.1814971263517045,10.190748008565793,0,290.0,0.285,2.081
1351,-5.445247712834426,-6.281406307717679,1,258.0,0.275,2.081
1352,-17.435599793302547,1.6901176360892087,2,326.0,0.875,2.094
1353,18.599395649007455,2.520325032849266,0,354.0,0.91,2.094
1354,-7.06020058355371,0.695391324895578,1,230.0,0.36,2.094
1355,4.403025618731089,-11.657585744019881,1,296.0,0.22,2.094
1356,-18.328503422651757,2.3439409435568934,2,350.0,0.92,2.107
1357,17.467978023563848,1.2423848735879994,0,310.0,0.855,2.107
1358,0.34906725236294933,-3.256324440223364,1,242.0,0.01,2.107
1359,-3.5989263559724156,-9.930463411750374,1,272.0,0.18,2.107
1360,-19.50349086319632,3.384410301405715,2,390.0,0.98,2.12
