"","X","x","y","Labels","Energy","Magnetization","Temp"
"1197722",1197721,25.8766503151182,-1.24679325309372,1,1114,0.6375,2.25
"1197723",1197722,-22.414533701211,-7.36244672584908,2,1176,0.57,2.25
"1197724",1197723,22.5180770545978,1.25289055508146,1,1098,0.55375,2.25
"1197725",1197724,-22.3390162965456,5.48558086619213,2,1084,0.5675,2.26166666666667
"1197726",1197725,29.6774209466549,-0.871818531443157,1,1134,0.7325,2.26166666666667
"1197727",1197726,29.7814053650478,-2.37304369266514,1,1148,0.735,2.26166666666667
"1197728",1197727,-28.4802340956437,3.93374570548625,2,1128,0.72125,2.26166666666667
"1197729",1197728,8.82998052951609,-8.07878253041778,0,1084,0.21125,2.27333333333333
"1197730",1197729,30.1682242422818,4.80558929524822,1,1192,0.745,2.27333333333333
"1197731",1197730,-31.3230309272797,0.496174344471563,2,1230,0.7925,2.27333333333333
"1197732",1197731,26.2370053109969,-4.7894966609886,1,1120,0.64625,2.27333333333333
"1197733",1197732,-23.1742468555994,-0.497117239771407,2,1080,0.58875,2.285
"1197734",1197733,-32.37763451833,0.361732005637932,2,1212,0.81875,2.285
"1197735",1197734,-29.3252264305734,-0.703220077623762,2,1178,0.7425,2.285
"1197736",1197735,-29.5794495039423,-2.1607502753369,2,1166,0.74875,2.285
"1197737",1197736,29.6316480200946,-1.81350034130965,1,1142,0.73125,2.29666666666667
"1197738",1197737,29.1236791747782,-1.18868720749649,1,1118,0.71875,2.29666666666667
"1197739",1197738,-24.6850252168708,6.39367529892159,2,1104,0.62625,2.29666666666667
"1197740",1197739,-28.7298908569051,4.28098444393952,2,1194,0.7275,2.29666666666667
"1197741",1197740,25.5293736468721,-1.18214412184748,1,1100,0.62875,2.30833333333333
"1197742",1197741,-28.4700041734702,-2.22696011770613,2,1172,0.72125,2.30833333333333
"1197743",1197742,-19.4202774406436,-1.5797198012283,2,1060,0.495,2.30833333333333
"1197744",1197743,30.2702000893933,1.72893257300785,1,1226,0.7475,2.30833333333333
"1197745",1197744,-19.338355754745,0.742002764843597,2,1060,0.4925,2.32
"1197746",1197745,-28.771220663446,-2.13345797799529,2,1140,0.72875,2.32
"1197747",1197746,-6.99928495926113,-10.2314199917687,0,990,0.185,2.32
"1197748",1197747,28.0255531456966,1.37947144963786,1,1138,0.69125,2.32
"1197749",1197748,-21.5816094654251,2.37495734155795,2,982,0.54875,2.33166666666667
"1197750",1197749,-24.6246870158882,-2.64221369121685,2,1054,0.625,2.33166666666667
"1197751",1197750,-25.37232078917,1.09302999025905,2,1040,0.64375,2.33166666666667
"1197752",1197751,26.5327079614238,-4.08290016547171,1,1078,0.65375,2.33166666666667
"1197753",1197752,21.585496975155,-3.86165686090623,1,1056,0.53,2.34333333333333
"1197754",1197753,20.3680073036064,1.63928924396204,1,1002,0.5,2.34333333333333
"1197755",1197754,29.1694333040386,3.13653849421407,1,1136,0.72,2.34333333333333
"1197756",1197755,-6.1156149879223,3.8420928378162,0,926,0.1625,2.34333333333333
"1197757",1197756,-20.0765422347883,-2.02069272706202,2,1010,0.51125,2.355
"1197758",1197757,10.6484017537286,17.1737942469782,0,1006,0.2575,2.355
"1197759",1197758,12.5599831700711,0.620634146937859,0,996,0.305,2.355
"1197760",1197759,9.63430426766929,-1.24390665353083,0,984,0.23125,2.355
"1197761",1197760,8.57834189586058,13.2493989395963,0,1054,0.205,2.36666666666667
