"","X","x","y","Energy","Magnetization","Temp","Labels"
"210001",210000,-34.501348112285,-0.121190384763339,1452,0.93875,1.9,0
"211442",211441,40.8336715822839,0.620151802963558,1444,0.93875,1.9,1
"212883",212882,-34.6519837307224,-0.133241391162144,1444,0.9425,1.9,0
"214324",214323,-33.7479542778617,-0.668405286106914,1402,0.92,1.9,0
"216001",216000,-34.6521426635372,-0.611938864552209,1452,0.9425,1.9,0
"217442",217441,40.8330242441522,-0.340868356493025,1436,0.93875,1.9,1
"218883",218882,-33.7991700551051,-0.560903495740077,1396,0.92125,1.9,0
"220324",220323,-33.7477944823548,0.498761948912362,1404,0.92,1.9,0
"222001",222000,-35.2044013971471,-0.024367858435339,1472,0.95625,1.9,0
"223442",223441,40.7834435727804,-0.663840945857451,1444,0.9375,1.9,1
"224883",224882,-34.85280138329,-0.244182439207582,1462,0.9475,1.9,0
"226324",226323,-34.2494524693367,-0.423923503348561,1436,0.9325,1.9,0
"228001",228000,-34.20062869684,-0.335966935053714,1438,0.93125,1.9,0
"229442",229441,40.5343771006492,0.348747444879478,1412,0.93125,1.9,1
"230883",230882,-34.202340614313,-0.0924650007541939,1434,0.93125,1.9,0
"232324",232323,-33.7506049896319,-0.682515143248641,1414,0.92,1.9,0
"234001",234000,-33.9498711946975,-0.649285620539371,1430,0.925,1.9,0
"235442",235441,41.3347139363522,-0.181815623109042,1468,0.95125,1.9,1
"236883",236882,-34.8017160500093,-0.366802734477387,1460,0.94625,1.9,0
"238324",238323,-34.5017080498296,-0.00888630006548947,1440,0.93875,1.9,0
"240001",240000,-34.8528125575108,1.16594758284339,1470,0.9475,1.9,0
"241442",241441,39.4817034547613,0.408799671227588,1392,0.905,1.9,1
"242883",242882,-35.002665865609,-0.140520142358872,1462,0.95125,1.9,0
"244324",244323,-34.2498165371962,-0.595044987533895,1432,0.9325,1.9,0
"246001",246000,-35.3536482678447,-0.681273813675216,1496,0.96,1.9,0
"247442",247441,41.3848638694536,-0.509687184388789,1486,0.9525,1.9,1
"248883",248882,-34.6003700399486,-0.982664815574454,1456,0.94125,1.9,0
"250324",250323,-34.8027312271903,0.474956934037745,1460,0.94625,1.9,0
"252001",252000,-34.9537719440163,0.0523304964696617,1468,0.95,1.9,0
"253442",253441,40.5812455105686,0.210002835680194,1424,0.9325,1.9,1
"254883",254882,-33.4973102834327,0.622609653763983,1406,0.91375,1.9,0
"256324",256323,-34.7522470513466,-0.368276127613742,1456,0.945,1.9,0
"258001",258000,-33.1970091184663,-0.29385839132584,1414,0.90625,1.9,0
"259442",259441,40.3828278053714,0.589322449708262,1442,0.9275,1.9,1
"260883",260882,-34.4004922388826,0.110104379457841,1446,0.93625,1.9,0
"262324",262323,-34.5518491712216,0.61382179770863,1448,0.94,1.9,0
"264001",264000,-34.049108865036,1.18127517951739,1426,0.9275,1.9,0
"265442",265441,41.1861919991345,0.257428414104041,1464,0.9475,1.9,1
"266883",266882,-33.3978083923211,0.511803200585529,1402,0.91125,1.9,0
"268324",268323,-34.8004681876395,-0.165572502745724,1468,0.94625,1.9,0
"270001",270000,-33.7464651072772,-2.22376443042988,1448,0.92,1.9,0
"271442",271441,40.9853185087894,-0.502947645829534,1440,0.9425,1.9,1
"272883",272882,-34.5515579522283,-0.0963160015750987,1440,0.94,1.9,0
"274324",274323,-34.4001747219982,-0.311595053421067,1440,0.93625,1.9,0
"276001",276000,-34.051242232961,0.296550972204909,1426,0.9275,1.9,0
"277442",277441,41.6365767696043,0.285206807565487,1490,0.95875,1.9,1
"278883",278882,-33.1472396330301,0.43055726386116,1394,0.905,1.9,0
"280324",280323,-35.1022300407165,0.709504926987995,1480,0.95375,1.9,0
"282001",282000,-34.7517098673143,0.316941463668023,1446,0.945,1.9,0
"283442",283441,40.9335176524105,0.111104501911214,1442,0.94125,1.9,1
"284883",284882,-35.2037351234216,-0.0508182269540196,1476,0.95625,1.9,0
"286324",286323,-34.7011294769367,-0.402541066528776,1452,0.94375,1.9,0
"288001",288000,-35.2038380607151,0.280216990336983,1470,0.95625,1.9,0
"289442",289441,41.4357323884975,0.275286083629116,1474,0.95375,1.9,1
"290883",290882,-34.8017593262927,-0.751104228714729,1466,0.94625,1.9,0
"292324",292323,-34.1504921161166,0.987716496051435,1442,0.93,1.9,0
"294001",294000,-34.200424120145,0.00284295148328785,1446,0.93125,1.9,0
"295442",295441,40.883377893318,-0.886086815173013,1446,0.94,1.9,1
"296883",296882,-34.7510209482939,-0.377052971422665,1458,0.945,1.9,0
"298324",298323,-33.5967902351684,0.481800678431922,1424,0.91625,1.9,0
"300001",300000,-34.3492927118386,-0.170475815005053,1430,0.935,1.9,0
"301442",301441,41.5860015772344,0.0852510970123752,1484,0.9575,1.9,1
"302883",302882,-34.7536927631482,-0.113921390551943,1454,0.945,1.9,0
"304324",304323,-33.8482716695499,-0.87859292658674,1430,0.9225,1.9,0
"306001",306000,-33.0950732483043,1.28575840560874,1400,0.90375,1.9,0
"307442",307441,41.4357173668641,0.0958814720653461,1480,0.95375,1.9,1
"308883",308882,-34.7014111865431,-0.198720949790341,1434,0.94375,1.9,0
"310324",310323,-33.7967940046065,-1.94673151546738,1438,0.92125,1.9,0
"312001",312000,-35.7552524578051,-0.0647204844660661,1516,0.97,1.9,0
"313442",313441,41.4853242844218,-0.0959304650027969,1480,0.955,1.9,1
"314883",314882,-34.4524025380415,-0.0281179735962197,1456,0.9375,1.9,0
"316324",316323,-35.1027032830023,-0.608591176112384,1478,0.95375,1.9,0
"318001",318000,-34.0486297647678,0.105073895675126,1416,0.9275,1.9,0
"319442",319441,39.527680660381,1.18933124542058,1398,0.90625,1.9,1
"320883",320882,-33.6012402388603,-0.820656044616006,1426,0.91625,1.9,0
"322324",322323,-35.2018689386442,-1.0680761534468,1500,0.95625,1.9,0
"324001",324000,-34.8524752457182,-0.635309930921461,1462,0.9475,1.9,0
"325442",325441,40.9327399363866,-0.121969142241026,1454,0.94125,1.9,1
"326883",326882,-34.7008073690118,-0.297805308075231,1466,0.94375,1.9,0
"328324",328323,-35.1035201048184,0.371414293929394,1466,0.95375,1.9,0
"330001",330000,-34.6023869804546,-0.0145949302967442,1440,0.94125,1.9,0
"331442",331441,39.6819525858543,-0.433905781769671,1410,0.91,1.9,1
"332883",332882,-35.5541322408127,-0.170753890175285,1498,0.965,1.9,0
"334324",334323,-34.6020174606887,-0.215177752281568,1472,0.94125,1.9,0
"336001",336000,-34.3023411281484,0.0788136517054387,1426,0.93375,1.9,0
"337442",337441,40.7331886519186,0.452609910542419,1434,0.93625,1.9,1
"338883",338882,-34.8530391615779,-0.0872932475696416,1452,0.9475,1.9,0
"340324",340323,-33.8998635617145,0.177748063961774,1416,0.92375,1.9,0
"342001",342000,-34.4512554495499,1.0809604700061,1452,0.9375,1.9,0
"343442",343441,41.5352642421888,0.418249128567801,1470,0.95625,1.9,1
"344883",344882,-34.7005560878501,-0.218220461778139,1452,0.94375,1.9,0
"346324",346323,-32.8968957920745,-0.138317706615,1384,0.89875,1.9,0
"348001",348000,-34.5015854133757,-0.461935746308671,1446,0.93875,1.9,0
"349442",349441,41.2857086882145,-0.769126888577966,1464,0.95,1.9,1
"350883",350882,-34.7516472839543,-0.267069694664676,1456,0.945,1.9,0
"352324",352323,-34.148803800909,-0.328168991219789,1436,0.93,1.9,0
"354001",354000,-34.8518824296536,-0.770471809104321,1460,0.9475,1.9,0
"355442",355441,40.1309616304598,-0.220136844368653,1392,0.92125,1.9,1
"356883",356882,-34.3992918435025,0.0793355714054661,1444,0.93625,1.9,0
"358324",358323,-33.7505961944869,0.622346827462431,1402,0.92,1.9,0
"360001",360000,-34.8023112943863,-0.0550550216202217,1458,0.94625,1.9,0
"361442",361441,40.582829478265,-0.410602333443944,1438,0.9325,1.9,1
"362883",362882,-33.6985999688926,0.486988073537178,1420,0.91875,1.9,0
"364324",364323,-33.899071538145,-0.929173266772546,1428,0.92375,1.9,0
"366001",366000,-34.6507554504089,0.861956682420355,1458,0.9425,1.9,0
"367442",367441,41.1340371011776,-0.486525322017301,1462,0.94625,1.9,1
"368883",368882,-34.3510071422878,-0.294222574399355,1422,0.935,1.9,0
"370324",370323,-34.2505429121499,0.0528642312822737,1426,0.9325,1.9,0
"372001",372000,-34.3515357695649,1.07137384013894,1438,0.935,1.9,0
"373442",373441,40.8844081612821,-0.260841154201814,1438,0.94,1.9,1
"374883",374882,-35.1538019798578,-0.489903051700859,1478,0.955,1.9,0
"376324",376323,-33.9480733766242,-0.607177546060835,1422,0.925,1.9,0
"378001",378000,-34.6016380092072,0.829119016572685,1438,0.94125,1.9,0
"379442",379441,40.4324344044867,-0.7250374152337,1432,0.92875,1.9,1
"380883",380882,-32.9982332161688,1.05476692398498,1376,0.90125,1.9,0
"382324",382323,-34.0495217930228,-0.0240090320505144,1428,0.9275,1.9,0
"384001",384000,-34.0499513704875,0.10926569767761,1428,0.9275,1.9,0
"385442",385441,40.7835995849647,-0.52564881970523,1434,0.9375,1.9,1
"386883",386882,-33.6987126257578,-1.81293345023131,1416,0.91875,1.9,0
"388324",388323,-34.3520777840289,-0.759595989975183,1434,0.935,1.9,0
"390001",390000,-34.1000393144091,-0.30857864873573,1410,0.92875,1.9,0
"391442",391441,40.7824825477167,0.5558408784499,1438,0.9375,1.9,1
"392883",392882,-35.4534567873119,0.472243428736612,1510,0.9625,1.9,0
"394324",394323,-34.2998435691629,-0.0163011009059567,1426,0.93375,1.9,0
"396001",396000,-34.3509017911544,0.510179142013995,1426,0.935,1.9,0
"397442",397441,40.8850515483305,-0.721161134454285,1456,0.94,1.9,1
"398883",398882,-34.3516346226941,-0.21625046027653,1428,0.935,1.9,0
"400324",400323,-34.3515313773768,0.385299008614725,1446,0.935,1.9,0
"402001",402000,-34.2993598784104,-0.846071150279205,1426,0.93375,1.9,0
"403442",403441,38.8797759452641,-1.07747281244306,1368,0.89,1.9,1
"404883",404882,-35.0534715753345,-0.892774671363909,1468,0.9525,1.9,0
"406324",406323,-34.2986921172539,-1.56401032369214,1444,0.93375,1.9,0
