"","X","x","y","Labels","Energy","Magnetization","Temp"
"1196708",1196707,-17.5592166839254,0.404188239700995,0,342,0.91,2.08666666666667
"1196709",1196708,-17.9592725001354,0.202560625525319,0,352,0.93,2.09833333333333
"1196710",1196709,19.3595845790957,0.218919369429518,1,350,0.935,2.09833333333333
"1196711",1196710,-17.3605351869318,-0.161825975806491,0,346,0.9,2.09833333333333
"1196712",1196711,17.8598646605465,0.57482599121085,1,316,0.86,2.09833333333333
"1196713",1196712,-16.0578237545778,-0.660413725497647,0,300,0.835,2.11
"1196714",1196713,17.9585598770587,-1.31694711909408,1,320,0.865,2.11
"1196715",1196714,18.2598323261142,0.291964299440658,1,340,0.88,2.11
"1196716",1196715,-14.6614418224815,-2.76006881328966,0,294,0.765,2.11
"1196717",1196716,6.25111572449969,2.37363082965692,2,262,0.28,2.12166666666667
"1196718",1196717,17.8600825474385,1.02676842255935,1,322,0.86,2.12166666666667
"1196719",1196718,-18.2602791879095,0.0297281742733321,0,362,0.945,2.12166666666667
"1196720",1196719,-16.7593417999298,-0.417445172830952,0,320,0.87,2.12166666666667
"1196721",1196720,-16.6574957009895,0.2629414443052,0,320,0.865,2.13333333333333
"1196722",1196721,18.3591465641371,0.663813763688083,1,332,0.885,2.13333333333333
"1196723",1196722,18.1587842137098,0.860295105149419,1,328,0.875,2.13333333333333
"1196724",1196723,-16.8595700528624,-0.561626585386027,0,322,0.875,2.13333333333333
"1196725",1196724,-13.9593941466962,3.21924237595424,0,302,0.73,2.145
"1196726",1196725,18.4600302647518,1.09578839920366,1,332,0.89,2.145
"1196727",1196726,-17.8592148627331,-0.121884788910258,0,352,0.925,2.145
"1196728",1196727,16.5587871537018,0.953725054602837,1,304,0.795,2.145
"1196729",1196728,-15.6602805946886,-0.900534539695807,0,298,0.815,2.15666666666667
"1196730",1196729,19.6596569557648,0.345049627165318,1,362,0.95,2.15666666666667
"1196731",1196730,-14.759372396055,1.40588961102342,0,296,0.77,2.15666666666667
"1196732",1196731,-16.6601095579386,-0.883228536563874,0,334,0.865,2.15666666666667
"1196733",1196732,-16.9594220585321,0.378499500240069,0,326,0.88,2.16833333333333
"1196734",1196733,-17.2601233129197,1.01412204846489,0,342,0.895,2.16833333333333
"1196735",1196734,18.1566220694882,-0.773312280588435,1,322,0.875,2.16833333333333
"1196736",1196735,-17.7598689895973,0.607744846572185,0,344,0.92,2.16833333333333
"1196737",1196736,-14.1612362431127,-4.14979428017625,0,340,0.74,2.18
"1196738",1196737,-17.36085147188,-0.436471341333503,0,330,0.9,2.18
"1196739",1196738,-17.2605483581295,-1.07893176705657,0,338,0.895,2.18
"1196740",1196739,-16.5606227410644,0.790007608717775,0,318,0.86,2.18
"1196741",1196740,12.3525776522855,-2.02536503192879,1,260,0.585,2.19166666666667
"1196742",1196741,-14.9593133009982,-0.477492101199582,0,284,0.78,2.19166666666667
"1196743",1196742,-16.859120177328,-0.827496137442335,0,330,0.875,2.19166666666667
"1196744",1196743,-10.8587359602128,2.23865068862395,0,292,0.575,2.19166666666667
"1196745",1196744,16.9583090319748,1.07270518616487,1,298,0.815,2.20333333333333
"1196746",1196745,2.45611333138761,2.89927170266017,2,272,0.09,2.20333333333333
